town,page,page2,url,num,url_num
Klausthal,124,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454264,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454264
Königsberg,408,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454548,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454548
Königshuld,412,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454552,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454552
Konstanz,413,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454553,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454553
Kornwestheim,413,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454553,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454553
Kosel,414,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454554,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454554
Köslin,415,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454555,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454555
Köthen,416,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454556,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454556
Krefeld,417,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454557,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454557
Kruppamühle,419,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454559,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454559
Küstrin,420,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454560,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454560
Lahr,422,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454581,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454581
Landau,422,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454581,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454581
Landsberg,422,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454581,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454581
Landshut,423,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454582,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454582
Langeribiela,423,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454582,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454582
Langenfeld,424,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454583,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454583
Lauban,424,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454583,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454583
Laucherthal,627,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454786,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454786
Lauenberg,425,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454584,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454584
Lauta,425,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454584,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454584
Lechfeld,426,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454585,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454585
Lehrte,427,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454586,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454586
Leipzig,428,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454587,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454587
Leipheim,683,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454842,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454842
Letmathe,438,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454597,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454597
Leverkusen,439,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454598,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454598
Liegnitz,441,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454600,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454600
Limbach,442,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454601,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454601
Limburg,443,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454602,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454602
Lindau,443,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454602,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454602
Lippstadt,443,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454602,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454602
Löbau,444,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454603,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454603
Lörrach,444,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454603,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454603
Lübeck,445,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454604,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454604
Luckenwalde,449,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454608,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454608
Lüdenscheid,449,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454608,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454608
Ludwigsburg,450,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454609,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454609
Ludwigshafen,450,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454609,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454609
Lüneburg,451,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454610,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454610
Lunow,451,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454610,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454610
Lyck,452,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454611,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454611
Lüttringhausen,570,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454729,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454729
Magdeburg,453,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454612,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454612
Mainz,459,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454618,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454618
Malapane,461,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454620,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454620
Malchin,462,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454621,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454621
Malchow,462,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454621,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454621
Mannheim,463,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454622,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454622
Mansfeld,198,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454357,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454357
Marburg,472,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454631,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454631
Marienburg,472,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454631,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454631
Marl,473,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454632,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454632
Mayen,474,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454633,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454633
Mechernich,474,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454633,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454633
Meerane,475,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454634,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454634
Meiningen,475,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454634,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454634
Meissen,476,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454635,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454635
Melle,476,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454635,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454635
Memmingen,477,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454636,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454636
Menden,477,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454636,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454636
Merseburg,477,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454636,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454636
Mettmann,478,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454637,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454637
